Sigle;Pratique;Credits;Concentration;Option
BCL102;FAUX;3;FAUX;FAUX
BCM112;FAUX;2;FAUX;FAUX
BOT106;FAUX;3;FAUX;FAUX
COR200;FAUX;2;FAUX;FAUX
ECL110;FAUX;3;FAUX;FAUX
BCM100;FAUX;3;FAUX;FAUX
BCM104;FAUX;1;VRAI;FAUX
BCM113;VRAI;1;FAUX;FAUX
BIO101;FAUX;3;FAUX;FAUX
BIO109;FAUX;1;VRAI;FAUX
MCB101;VRAI;1;FAUX;FAUX
TSB303;FAUX;2;FAUX;FAUX
ZOO105;VRAI;1;VRAI;FAUX
ZOO106;FAUX;3;VRAI;FAUX
ZOO306;FAUX;1;VRAI;FAUX
ZOO307;VRAI;1;VRAI;FAUX
BIO300;FAUX;3;VRAI;FAUX
ECL307;VRAI;1;VRAI;FAUX
ECL510;FAUX;3;VRAI;FAUX
ECL516;FAUX;3;VRAI;FAUX
ECL527;VRAI;2;VRAI;FAUX
GNT302;FAUX;3;FAUX;FAUX
BOT512;VRAI;3;VRAI;FAUX
ECL403;VRAI;1;VRAI;FAUX
ECL404;FAUX;3;VRAI;FAUX
ECL406;FAUX;1;VRAI;FAUX
ECL515;VRAI;2;VRAI;FAUX
ECL615;FAUX;1;VRAI;FAUX
PSL105;FAUX;3;FAUX;FAUX
ECL522;FAUX;3;VRAI;VRAI
ECL535;VRAI;1;VRAI;VRAI
ENT102;FAUX;2;VRAI;VRAI
BIO500;FAUX;2;VRAI;FAUX
BOT400;FAUX;1;FAUX;FAUX
ECL604;FAUX;2;VRAI;FAUX
ECL610;FAUX;2;VRAI;FAUX
ECL603;VRAI;1;VRAI;VRAI
ECL606;FAUX;3;VRAI;VRAI
ECN109;FAUX;3;VRAI;VRAI
GBI104;FAUX;1;VRAI;VRAI
INS154;FAUX;3;VRAI;VRAI
ZOO302;FAUX;2;VRAI;VRAI
ECL308;FAUX;3;VRAI;FAUX
ECL616;FAUX;3;VRAI;FAUX
ECL611;VRAI;1;VRAI;FAUX
ALM300;FAUX;2;VRAI;VRAI
CHM319;FAUX;1;VRAI;VRAI
CHM402;FAUX;3;VRAI;VRAI
ECL530;FAUX;2;VRAI;VRAI
ECL534;FAUX;2;VRAI;VRAI
ECL608;FAUX;3;VRAI;VRAI
EMB106;FAUX;3;VRAI;VRAI
GMQ106;FAUX;3;VRAI;VRAI
GNT404;FAUX;1;VRAI;VRAI
