nom_cours;code;pratique;credits;specifique;option
biochimie_generale_travaux_pratiques;BCM113;V;1;F;F
introduction_a_la_programmation_scientifique;BIO109;F;1;V;F
methodes_en_ecologie_computationnelle;BIO500;F;2;F;F
projets_en_biologie_vegetale;BOT400;F;1;V;F
ecologie_aquatique_travaux_pratiques;ECL403;V;1;V;F
tendances_evolutives_des_plantes;ECL406;F;1;V;F
ecologie_vegetale;ECL510;F;3;V;F
ecologie_vegetale_travaux_pratiques;ECL515;V;2;V;F
ecologie_animale;ECL516;F;3;V;F
ecologie_animale_travaux_pratiques;ECL527;V;1;V;F
conservation_et_gestion_des_ressources_travaux_pratiques;ECL603;V;1;V;V
microbiologie_travaux_pratiques;MCB101;V;1;F;F
methodes_analytiques_en_biologie;TSB303;F;2;F;F
formes_et_fonctions_animales_travaux_pratiques;ZOO105;V;1;V;F
taxonomie_animale_travaux_pratiques;ZOO306;V;1;V;F
taxonomie_animale;ZOO307;F;1;V;F
ecotoxicologie_et_gestion_des_polluants;ECL522;F;3;V;V
ecologie_comportementale_travaux_pratiques;ECL535;V;1;V;V
economie_environnementale;ECN109;F;3;V;V
introduction_sig_et_cartographie_numerique;GMQ106;F;3;V;V
climatologie_et_changements_globaux_et_locaux;GEO453;F;3;V;V
entreprenariat_en_sciences_biologiques;INS154;F;3;V;V
