Sigle;Credit;Pratique;Concentration;Option;;;;;;;;;;;;;;;;;;;;;
BIO500;2;f;v;f;;;;;;;;;;;;;;;;;;;;;
ECL510;3;f;v;f;;;;;;;;;;;;;;;;;;;;;
ECL516;3;f;v;f;;;;;;;;;;;;;;;;;;;;;
BCM104;1;f;v;f;;;;;;;;;;;;;;;;;;;;;
BCM113;1;v;v;f;;;;;;;;;;;;;;;;;;;;;
BIO109;1;f;v;f;;;;;;;;;;;;;;;;;;;;;
BOT400;1;f;v;f;;;;;;;;;;;;;;;;;;;;;
ECL308;3;f;v;f;;;;;;;;;;;;;;;;;;;;;
ECL527;2;v;v;f;;;;;;;;;;;;;;;;;;;;;
ECL611;1;v;v;f;;;;;;;;;;;;;;;;;;;;;
ECL616;3;f;v;f;;;;;;;;;;;;;;;;;;;;;
MCB101;1;v;f;f;;;;;;;;;;;;;;;;;;;;;
ZOO105;1;v;v;f;;;;;;;;;;;;;;;;;;;;;
ZOO106;3;f;v;f;;;;;;;;;;;;;;;;;;;;;
ZOO307;1;v;v;f;;;;;;;;;;;;;;;;;;;;;
TSB303;2;f;f;f;;;;;;;;;;;;;;;;;;;;;
ECL510;3;f;v;f;;;;;;;;;;;;;;;;;;;;;
ECL516;3;f;v;f;;;;;;;;;;;;;;;;;;;;;
ECL403;1;v;v;f;;;;;;;;;;;;;;;;;;;;;
ECL406;1;f;v;f;;;;;;;;;;;;;;;;;;;;;
ECL515;2;v;v;f;;;;;;;;;;;;;;;;;;;;;
ECL216;2;v;v;f;;;;;;;;;;;;;;;;;;;;;
ENT102;2;f;v;v;;;;;;;;;;;;;;;;;;;;;
ECL522;3;f;v;f;;;;;;;;;;;;;;;;;;;;;
